algo,input,alpha,match,recur,recur,time,time,space,space
,(len),,(len),(rcnstr),(size),(size),(rcnstr),(rcnstr),(size)
d ,5,a ,2,6,1,0.4485,0.0136,,0
d ,5,b ,4,7,1,0.0218,0.0134,,0
d ,10,a ,4,12,1,0.0285,0.0146,,0
d ,10,b ,8,12,1,0.0303,0.0147,,0
d ,15,a ,8,20,1,0.0398,0.0137,,0
d ,15,b ,10,21,1,0.0369,0.0151,,0
d ,20,a ,10,28,1,0.0464,0.0151,,0
d ,20,b ,16,25,1,0.0514,0.0154,,0
d ,1000,a ,643,1356,1,59.4236,0.0538,,12.1
d ,1000,b ,808,1193,1,58.6192,0.0423,,14.2
d ,2000,a ,1297,2702,1,233.6667,0.1309,,45.5
d ,2000,b ,1611,2390,1,230.7633,0.0826,,67.6
d ,3000,a ,1949,4050,1,524.8506,0.1325,,100.6
d ,3000,b ,2446,3555,1,520.6707,0.0883,,157.5
d ,4000,a ,2611,5381,1,931.8733,0.2031,,157.9
d ,4000,b ,3225,4772,1,923.8998,0.1830,,264.9
d ,5000,a ,3255,6745,1,1453.7706,0.1652,,245
d ,5000,b ,4061,5939,1,1447.4913,0.4058,,418.3
n ,5,a ,2,227,,,0.0214,,
n ,5,b ,4,30,,,0.0132,,
n ,10,a ,4,37412,,,0.3186,,
n ,10,b ,8,234,,,0.0144,,
n ,15,a ,8,1207326,,,9.6630,,
n ,15,b ,10,3151,,,0.0456,,
n ,20,a ,10,554020891,,,4433.3023,,
n ,20,b ,16,136317,,,1.1002,,
m ,5,a ,2,8,41,0.0220,0.0135,,0
m ,5,b ,4,6,27,0.0204,0.0149,,0
m ,10,a ,4,14,136,0.0268,0.0145,,0
m ,10,b ,8,11,61,0.0288,0.0143,,0
m ,15,a ,8,17,270,0.0396,0.0141,,0
m ,15,b ,10,19,167,0.0360,0.0134,,0
m ,20,a ,10,28,620,0.0498,0.0148,,0
m ,20,b ,16,24,371,0.0508,0.0135,,0
m ,1000,a ,643,1355,1257162,67.9600,0.0452,,0
m ,1000,b ,808,1192,603178,61.2487,0.0400,,0
m ,2000,a ,1297,2702,5017475,272.3344,0.0655,,15.1
m ,2000,b ,1611,2389,2526915,247.3882,0.0619,,19.3
m ,3000,a ,1949,4048,11161409,618.1745,0.0877,,35.2
m ,3000,b ,2446,3554,5478036,558.2729,0.0837,,46.4
m ,4000,a ,2611,5385,19821104,1110.3767,0.2876,,61.9
m ,4000,b ,3225,4772,10239993,1012.3914,0.2972,,90.3
m ,5000,a ,3255,6744,30960754,1768.7142,0.4066,,97.8
m ,5000,b ,4061,5937,15880614,1591.7180,0.3978,,145.5
h ,5,a ,2,9,1,0.0213,0.0139,0,
h ,5,b ,4,9,1,0.0163,0.0162,0,
h ,10,a ,4,13,1,0.0176,0.0191,0,
h ,10,b ,8,19,1,0.0166,0.0188,0,
h ,15,a ,8,23,1,0.0175,0.0216,0,
h ,15,b ,10,27,1,0.0153,0.0212,0,
h ,20,a ,10,37,1,0.0197,0.0261,0,
h ,20,b ,16,37,1,0.0179,0.0262,0,
h ,1000,a ,643,1877,1,5.0141,9.6747,0,
h ,1000,b ,808,1951,1,4.9947,9.8500,0,
h ,2000,a ,1297,3721,1,19.8064,38.6532,0,
h ,2000,b ,1611,3881,1,20.2065,39.1011,0,
h ,3000,a ,1949,5631,1,44.6806,86.9596,0,
h ,3000,b ,2446,5869,1,45.2797,87.8965,0,
h ,4000,a ,2611,7471,1,79.1319,154.6820,0,
h ,4000,b ,3225,7741,1,81.3705,158.7095,0,
h ,5000,a ,3255,9279,1,123.8846,241.5663,0,
h ,5000,b ,4061,9731,1,127.3422,244.8492,0,
